Datum;Kontobezeichnung;Nummer;Beschreibung;Bemerkung;Buchungstext;Kategorie;Kontoart;Aktion;Abgleichen;Nach m. Währung;Von m. Währung;Nach numerisch;Von numerisch;Nach Kurs;Von Kurs
;;;;;;Sprachkurse;S;;N;160,00 €;;160,00;;1,00;
;;;;;;Girokonto;S;;N;;-160,00 €;;-160,00;;1,00
27.03.2017;Sprachkurse;;Spanisch Kurs A1.2;;;Girokonto;T;;N;160,00 €;;160,00;;;
;;;;;;Sprachkurse;S;;N;160,00 €;;160,00;;1,00;
;;;;;;Girokonto;S;;N;;-160,00 €;;-160,00;;1,00
31.07.2017;Sprachkurse;;Sprachreise Spanien;;;Girokonto;T;;N;82,00 €;;82,00;;;
;;;;;;Sprachkurse;S;;N;82,00 €;;82,00;;1,00;
;;;;;;Girokonto;S;;N;;-82,00 €;;-82,00;;1,00
17.08.2017;Sprachkurse;;Spanischkurs;;;Girokonto;T;;N;160,00 €;;160,00;;;
;;;;;;Sprachkurse;S;;N;160,00 €;;160,00;;1,00;
;;;;;;Girokonto;S;;N;;-160,00 €;;-160,00;;1,00
22.08.2017;Sprachkurse;;Sprachreise Spanien;;;Girokonto;T;;N;508,00 €;;508,00;;;
;;;;;;Sprachkurse;S;;N;508,00 €;;508,00;;1,00;
;;;;;;Girokonto;S;;N;;-508,00 €;;-508,00;;1,00
26.09.2017;Sprachkurse;;Babbel ;;;Girokonto;T;;N;99,00 €;;99,00;;;
;;;;;;Sprachkurse;S;;N;99,00 €;;99,00;;1,00;
;;;;;;Girokonto;S;;N;;-99,00 €;;-99,00;;1,00
18.10.2017;Sprachkurse;;Spanischkurs;;;Girokonto;T;;N;160,00 €;;160,00;;;
;;;;;;Sprachkurse;S;;N;160,00 €;;160,00;;1,00;
;;;;;;Girokonto;S;;N;;-160,00 €;;-160,00;;1,00
25.09.2018;Sprachkurse;;Babbel ;;;Girokonto;T;;N;99,00 €;;99,00;;;
;;;;;;Sprachkurse;S;;N;99,00 €;;99,00;;1,00;
;;;;;;Girokonto;S;;N;;-99,00 €;;-99,00;;1,00
20.04.2015;Zeitungen;;Linux-User;;;Girokonto;T;;N;13,59 €;;13,59;;;
;;;;;;Zeitungen;S;;N;13,59 €;;13,59;;1,00;
;;;;;;Girokonto;S;;N;;-13,59 €;;-13,59;;1,00
28.12.2015;Zeitungen;;Zeitschriften;;;Girokonto;T;;N;20,80 €;;20,80;;;
;;;;;;Zeitungen;S;;N;20,80 €;;20,80;;1,00;
;;;;;;Girokonto;S;;N;;-20,80 €;;-20,80;;1,00
08.02.2016;Zeitungen;;Zeitschriften;;;Girokonto;T;;N;17,97 €;;17,97;;;
;;;;;;Zeitungen;S;;N;17,97 €;;17,97;;1,00;
;;;;;;Girokonto;S;;N;;-17,97 €;;-17,97;;1,00
26.03.2016;Zeitungen;;Chip;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Zeitungen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
27.07.2016;Zeitungen;;Ct;;;Bargeld;T;;N;4,50 €;;4,50;;;
;;;;;;Zeitungen;S;;N;4,50 €;;4,50;;1,00;
;;;;;;Bargeld;S;;N;;-4,50 €;;-4,50;;1,00
06.09.2017;Zeitungen;;TAZ-Abo;;;Bargeld;T;;N;60,00 €;;60,00;;;
;;;;;;Zeitungen;S;;N;60,00 €;;60,00;;1,00;
;;;;;;Bargeld;S;;N;;-60,00 €;;-60,00;;1,00
21.07.2015;Computer;;Arlt;;;Girokonto;T;;N;792,99 €;;792,99;;;
;;;;;;Computer;S;;N;792,99 €;;792,99;;1,00;
;;;;;;Girokonto;S;;N;;-792,99 €;;-792,99;;1,00
23.07.2015;Computer;;Arlt;;;Girokonto;T;;N;115,99 €;;115,99;;;
;;;;;;Computer;S;;N;115,99 €;;115,99;;1,00;
;;;;;;Girokonto;S;;N;;-115,99 €;;-115,99;;1,00
27.07.2015;Computer;;Media Markt;;;Girokonto;T;;N;58,97 €;;58,97;;;
;;;;;;Computer;S;;N;58,97 €;;58,97;;1,00;
;;;;;;Girokonto;S;;N;;-58,97 €;;-58,97;;1,00
29.07.2015;Computer;;Amazon;;;Girokonto;T;;N;32,79 €;;32,79;;;
;;;;;;Computer;S;;N;32,79 €;;32,79;;1,00;
;;;;;;Girokonto;S;;N;;-32,79 €;;-32,79;;1,00
10.08.2015;Computer;;Media Markt;;;Girokonto;T;;N;15,99 €;;15,99;;;
;;;;;;Computer;S;;N;15,99 €;;15,99;;1,00;
;;;;;;Girokonto;S;;N;;-15,99 €;;-15,99;;1,00
22.10.2015;Computer;;Amazon;;;Girokonto;T;;N;62,78 €;;62,78;;;
;;;;;;Computer;S;;N;62,78 €;;62,78;;1,00;
;;;;;;Girokonto;S;;N;;-62,78 €;;-62,78;;1,00
10.11.2015;Computer;;Amazon;;;Girokonto;T;;N;20,98 €;;20,98;;;
;;;;;;Computer;S;;N;20,98 €;;20,98;;1,00;
;;;;;;Girokonto;S;;N;;-20,98 €;;-20,98;;1,00
11.11.2015;Computer;;Amazon;;;Girokonto;T;;N;39,58 €;;39,58;;;
;;;;;;Computer;S;;N;39,58 €;;39,58;;1,00;
;;;;;;Girokonto;S;;N;;-39,58 €;;-39,58;;1,00
27.11.2015;Computer;;AWS URL;;;Girokonto;T;;N;13,47 €;;13,47;;;
;;;;;;Computer;S;;N;13,47 €;;13,47;;1,00;
;;;;;;Girokonto;S;;N;;-13,47 €;;-13,47;;1,00
02.12.2015;Computer;;Soundkarte;;;Girokonto;T;;N;29,50 €;;29,50;;;
;;;;;;Computer;S;;N;29,50 €;;29,50;;1,00;
;;;;;;Girokonto;S;;N;;-29,50 €;;-29,50;;1,00
02.12.2015;Computer;;Notebookhülle;;;Girokonto;T;;N;22,27 €;;22,27;;;
;;;;;;Computer;S;;N;22,27 €;;22,27;;1,00;
;;;;;;Girokonto;S;;N;;-22,27 €;;-22,27;;1,00
02.12.2015;Computer;;Netzteil;;;Girokonto;T;;N;52,85 €;;52,85;;;
;;;;;;Computer;S;;N;52,85 €;;52,85;;1,00;
;;;;;;Girokonto;S;;N;;-52,85 €;;-52,85;;1,00
11.01.2016;Computer;;Arlt;;;Girokonto;T;;N;22,90 €;;22,90;;;
;;;;;;Computer;S;;N;22,90 €;;22,90;;1,00;
;;;;;;Girokonto;S;;N;;-22,90 €;;-22,90;;1,00
03.06.2016;Computer;;Pixel-C;;;Girokonto;T;;N;499,00 €;;499,00;;;
;;;;;;Computer;S;;N;499,00 €;;499,00;;1,00;
;;;;;;Girokonto;S;;N;;-499,00 €;;-499,00;;1,00
06.06.2016;Computer;;Pixel-C Zubehör;;;Girokonto;T;;N;17,94 €;;17,94;;;
;;;;;;Computer;S;;N;17,94 €;;17,94;;1,00;
;;;;;;Girokonto;S;;N;;-17,94 €;;-17,94;;1,00
09.09.2016;Computer;;App-Guard;;;Girokonto;T;;N;3,99 €;;3,99;;;
;;;;;;Computer;S;;N;3,99 €;;3,99;;1,00;
;;;;;;Girokonto;S;;N;;-3,99 €;;-3,99;;1,00
19.09.2016;Computer;;Repeater;;;Girokonto;T;;N;31,00 €;;31,00;;;
;;;;;;Computer;S;;N;31,00 €;;31,00;;1,00;
;;;;;;Girokonto;S;;N;;-31,00 €;;-31,00;;1,00
25.10.2016;Computer;;Amazon;;;Girokonto;T;;N;7,99 €;;7,99;;;
;;;;;;Computer;S;;N;7,99 €;;7,99;;1,00;
;;;;;;Girokonto;S;;N;;-7,99 €;;-7,99;;1,00
04.11.2016;Computer;;Media Markt;;;Girokonto;T;;N;17,99 €;;17,99;;;
;;;;;;Computer;S;;N;17,99 €;;17,99;;1,00;
;;;;;;Girokonto;S;;N;;-17,99 €;;-17,99;;1,00
07.11.2016;Computer;;Amazon;;;Girokonto;T;;N;36,99 €;;36,99;;;
;;;;;;Computer;S;;N;36,99 €;;36,99;;1,00;
;;;;;;Girokonto;S;;N;;-36,99 €;;-36,99;;1,00
08.11.2016;Computer;;Amazon;;;Girokonto;T;;N;26,00 €;;26,00;;;
;;;;;;Computer;S;;N;26,00 €;;26,00;;1,00;
;;;;;;Girokonto;S;;N;;-26,00 €;;-26,00;;1,00
08.11.2016;Computer;;Amazon;;;Girokonto;T;;N;24,00 €;;24,00;;;
;;;;;;Computer;S;;N;24,00 €;;24,00;;1,00;
;;;;;;Girokonto;S;;N;;-24,00 €;;-24,00;;1,00
14.11.2016;Computer;;Watterott;;;Girokonto;T;;N;124,95 €;;124,95;;;
;;;;;;Computer;S;;N;124,95 €;;124,95;;1,00;
;;;;;;Girokonto;S;;N;;-124,95 €;;-124,95;;1,00
15.11.2016;Computer;;Amazon;;;Girokonto;T;;N;48,28 €;;48,28;;;
;;;;;;Computer;S;;N;48,28 €;;48,28;;1,00;
;;;;;;Girokonto;S;;N;;-48,28 €;;-48,28;;1,00
17.07.2017;Computer;;Handy Akkus Mediamarkt;;;Girokonto;T;;N;31,97 €;;31,97;;;
;;;;;;Computer;S;;N;31,97 €;;31,97;;1,00;
;;;;;;Girokonto;S;;N;;-31,97 €;;-31,97;;1,00
17.07.2017;Computer;;Akkus;;;Girokonto;T;;N;27,88 €;;27,88;;;
;;;;;;Computer;S;;N;27,88 €;;27,88;;1,00;
;;;;;;Girokonto;S;;N;;-27,88 €;;-27,88;;1,00
18.07.2017;Computer;;Akkus;;;Girokonto;T;;N;15,12 €;;15,12;;;
;;;;;;Computer;S;;N;15,12 €;;15,12;;1,00;
;;;;;;Girokonto;S;;N;;-15,12 €;;-15,12;;1,00
25.07.2017;Computer;;Audiokabel;;;Girokonto;T;;N;14,48 €;;14,48;;;
;;;;;;Computer;S;;N;14,48 €;;14,48;;1,00;
;;;;;;Girokonto;S;;N;;-14,48 €;;-14,48;;1,00
06.09.2017;Computer;;Nagelschere, USB Ladegerät;;;Girokonto;T;;N;19,80 €;;19,80;;;
;;;;;;Computer;S;;N;19,80 €;;19,80;;1,00;
;;;;;;Girokonto;S;;N;;-19,80 €;;-19,80;;1,00
13.11.2017;Computer;;Amazon;;;Girokonto;T;;N;13,95 €;;13,95;;;
;;;;;;Computer;S;;N;13,95 €;;13,95;;1,00;
;;;;;;Girokonto;S;;N;;-13,95 €;;-13,95;;1,00
14.11.2017;Computer;;Amazon;;;Girokonto;T;;N;10,78 €;;10,78;;;
;;;;;;Computer;S;;N;10,78 €;;10,78;;1,00;
;;;;;;Girokonto;S;;N;;-10,78 €;;-10,78;;1,00
22.11.2017;Computer;;Raspberry Pi;;;Girokonto;T;;N;55,00 €;;55,00;;;
;;;;;;Computer;S;;N;55,00 €;;55,00;;1,00;
;;;;;;Girokonto;S;;N;;-55,00 €;;-55,00;;1,00
11.12.2017;Computer;;Media Markt;;;Girokonto;T;;N;8,99 €;;8,99;;;
;;;;;;Computer;S;;N;8,99 €;;8,99;;1,00;
;;;;;;Girokonto;S;;N;;-8,99 €;;-8,99;;1,00
12.12.2017;Computer;;Saturn;;;Girokonto;T;;N;26,98 €;;26,98;;;
;;;;;;Computer;S;;N;26,98 €;;26,98;;1,00;
;;;;;;Girokonto;S;;N;;-26,98 €;;-26,98;;1,00
01.02.2018;Computer;;Amazon;;;Girokonto;T;;N;6,45 €;;6,45;;;
;;;;;;Computer;S;;N;6,45 €;;6,45;;1,00;
;;;;;;Girokonto;S;;N;;-6,45 €;;-6,45;;1,00
01.02.2018;Computer;;Amazon;;;Girokonto;T;;N;6,98 €;;6,98;;;
;;;;;;Computer;S;;N;6,98 €;;6,98;;1,00;
;;;;;;Girokonto;S;;N;;-6,98 €;;-6,98;;1,00
15.03.2018;Computer;;Amazon;;;Girokonto;T;;N;7,89 €;;7,89;;;
;;;;;;Computer;S;;N;7,89 €;;7,89;;1,00;
;;;;;;Girokonto;S;;N;;-7,89 €;;-7,89;;1,00
11.04.2018;Computer;;Amazon;;;Girokonto;T;;N;7,99 €;;7,99;;;
;;;;;;Computer;S;;N;7,99 €;;7,99;;1,00;
;;;;;;Girokonto;S;;N;;-7,99 €;;-7,99;;1,00
31.05.2018;Computer;;Ladekabel;;;Girokonto;T;;N;12,98 €;;12,98;;;
;;;;;;Computer;S;;N;12,98 €;;12,98;;1,00;
;;;;;;Girokonto;S;;N;;-12,98 €;;-12,98;;1,00
13.08.2018;Computer;;Intel Arlt;;;Girokonto;T;;N;599,00 €;;599,00;;;
;;;;;;Computer;S;;N;599,00 €;;599,00;;1,00;
;;;;;;Girokonto;S;;N;;-599,00 €;;-599,00;;1,00
18.09.2018;Computer;;Arlt;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Computer;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
09.04.2015;Essengehen;;Koflers;;;Bargeld;T;;N;25,00 €;;25,00;;;
;;;;;;Essengehen;S;;N;25,00 €;;25,00;;1,00;
;;;;;;Bargeld;S;;N;;-25,00 €;;-25,00;;1,00
16.04.2015;Essengehen;;Exilkubaner;;;Bargeld;T;;N;8,00 €;;8,00;;;
;;;;;;Essengehen;S;;N;8,00 €;;8,00;;1,00;
;;;;;;Bargeld;S;;N;;-8,00 €;;-8,00;;1,00
16.04.2015;Essengehen;;Exilkubaner;;;Bargeld;T;;N;17,00 €;;17,00;;;
;;;;;;Essengehen;S;;N;17,00 €;;17,00;;1,00;
;;;;;;Bargeld;S;;N;;-17,00 €;;-17,00;;1,00
26.04.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;4,00 €;;4,00;;;
;;;;;;Essengehen;S;;N;4,00 €;;4,00;;1,00;
;;;;;;Bargeld;S;;N;;-4,00 €;;-4,00;;1,00
28.04.2015;Essengehen;;Bratwurst;;;Bargeld;T;;N;4,00 €;;4,00;;;
;;;;;;Essengehen;S;;N;4,00 €;;4,00;;1,00;
;;;;;;Bargeld;S;;N;;-4,00 €;;-4,00;;1,00
15.05.2015;Essengehen;;Pizza;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Essengehen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
17.05.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;20,00 €;;20,00;;;
;;;;;;Essengehen;S;;N;20,00 €;;20,00;;1,00;
;;;;;;Bargeld;S;;N;;-20,00 €;;-20,00;;1,00
17.05.2015;Essengehen;;Bratwurst;;;Bargeld;T;;N;4,00 €;;4,00;;;
;;;;;;Essengehen;S;;N;4,00 €;;4,00;;1,00;
;;;;;;Bargeld;S;;N;;-4,00 €;;-4,00;;1,00
27.05.2015;Essengehen;;Refuge Palette;;;Bargeld;T;;N;30,00 €;;30,00;;;
;;;;;;Essengehen;S;;N;30,00 €;;30,00;;1,00;
;;;;;;Bargeld;S;;N;;-30,00 €;;-30,00;;1,00
05.06.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Essengehen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
05.06.2015;Essengehen;;Kebab;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Essengehen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
07.06.2015;Essengehen;;Bratwurst;;;Bargeld;T;;N;7,00 €;;7,00;;;
;;;;;;Essengehen;S;;N;7,00 €;;7,00;;1,00;
;;;;;;Bargeld;S;;N;;-7,00 €;;-7,00;;1,00
07.06.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Essengehen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
26.06.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;3,00 €;;3,00;;;
;;;;;;Essengehen;S;;N;3,00 €;;3,00;;1,00;
;;;;;;Bargeld;S;;N;;-3,00 €;;-3,00;;1,00
27.06.2015;Essengehen;;Bratwurst;;;Bargeld;T;;N;7,00 €;;7,00;;;
;;;;;;Essengehen;S;;N;7,00 €;;7,00;;1,00;
;;;;;;Bargeld;S;;N;;-7,00 €;;-7,00;;1,00
30.06.2015;Essengehen;;Langos;;;Bargeld;T;;N;4,00 €;;4,00;;;
;;;;;;Essengehen;S;;N;4,00 €;;4,00;;1,00;
;;;;;;Bargeld;S;;N;;-4,00 €;;-4,00;;1,00
01.07.2015;Essengehen;;Eisessen;;;Bargeld;T;;N;3,00 €;;3,00;;;
;;;;;;Essengehen;S;;N;3,00 €;;3,00;;1,00;
;;;;;;Bargeld;S;;N;;-3,00 €;;-3,00;;1,00
30.07.2015;Essengehen;;Tai;;;Bargeld;T;;N;6,00 €;;6,00;;;
;;;;;;Essengehen;S;;N;6,00 €;;6,00;;1,00;
;;;;;;Bargeld;S;;N;;-6,00 €;;-6,00;;1,00
31.07.2015;Essengehen;;Döner;;;Bargeld;T;;N;4,00 €;;4,00;;;
;;;;;;Essengehen;S;;N;4,00 €;;4,00;;1,00;
;;;;;;Bargeld;S;;N;;-4,00 €;;-4,00;;1,00
13.08.2015;Essengehen;;Döner;;;Bargeld;T;;N;2,50 €;;2,50;;;
;;;;;;Essengehen;S;;N;2,50 €;;2,50;;1,00;
;;;;;;Bargeld;S;;N;;-2,50 €;;-2,50;;1,00
14.08.2015;Essengehen;;Burger;;;Bargeld;T;;N;8,00 €;;8,00;;;
;;;;;;Essengehen;S;;N;8,00 €;;8,00;;1,00;
;;;;;;Bargeld;S;;N;;-8,00 €;;-8,00;;1,00
17.08.2015;Essengehen;;Döner;;;Bargeld;T;;N;5,00 €;;5,00;;;
;;;;;;Essengehen;S;;N;5,00 €;;5,00;;1,00;
;;;;;;Bargeld;S;;N;;-5,00 €;;-5,00;;1,00
03.09.2015;Essengehen;;Imbiss;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
04.09.2015;Essengehen;;Imbiss;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
08.09.2015;Essengehen;;McDonalds;;;Girokonto;T;;N;8,10 €;;8,10;;;
;;;;;;Essengehen;S;;N;8,10 €;;8,10;;1,00;
;;;;;;Girokonto;S;;N;;-8,10 €;;-8,10;;1,00
23.09.2015;Essengehen;;Pizza;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
03.10.2015;Essengehen;;Zur Post Schleching;;;Bargeld;T;;N;40,00 €;;40,00;;;
;;;;;;Essengehen;S;;N;40,00 €;;40,00;;1,00;
;;;;;;Bargeld;S;;N;;-40,00 €;;-40,00;;1,00
03.10.2015;Essengehen;;Kaffee, Eis, etc;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
03.10.2015;Essengehen;;Wiener;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
25.10.2015;Essengehen;;Blaichach Bäcker;;;Bargeld;T;;N;15,00 €;;15,00;;;
;;;;;;Essengehen;S;;N;15,00 €;;15,00;;1,00;
;;;;;;Bargeld;S;;N;;-15,00 €;;-15,00;;1,00
04.12.2015;Essengehen;;Leipzig;;;Bargeld;T;;N;20,00 €;;20,00;;;
;;;;;;Essengehen;S;;N;20,00 €;;20,00;;1,00;
;;;;;;Bargeld;S;;N;;-20,00 €;;-20,00;;1,00
09.02.2016;Essengehen;;Bangkok;;;Bargeld;T;;N;10,00 €;;10,00;;;
;;;;;;Essengehen;S;;N;10,00 €;;10,00;;1,00;
;;;;;;Bargeld;S;;N;;-10,00 €;;-10,00;;1,00
26.02.2016;Essengehen;;Kaffee, Eis, etc;;;Bargeld;T;;N;50,00 €;;50,00;;;
;;;;;;Essengehen;S;;N;50,00 €;;50,00;;1,00;
;;;;;;Bargeld;S;;N;;-50,00 €;;-50,00;;1,00
15.04.2016;Essengehen;;Reinbrüder;;;Bargeld;T;;N;20,00 €;;20,00;;;
;;;;;;Essengehen;S;;N;20,00 €;;20,00;;1,00;
;;;;;;Bargeld;S;;N;;-20,00 €;;-20,00;;1,00
21.04.2016;Essengehen;;Bangkok;;;Bargeld;T;;N;10,00 €;;10,00;;;
